ServerName,DatabaseName,LogicalName,PhysicalFullName,FileType,SizeMB,IsMemoryOptimizedDataOptionEnabled,TimeDataCollected
LEGACYSQL2012,TEAM01_LocalMasterDataDB,LocalMasterDataDB_Data,C:\Data\LocalMasterDataDB_TEAM1.mdf,Rows,2.25,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM01_LocalMasterDataDB,LocalMasterDataDB_Log,C:\Data\LocalMasterDataDB_TEAM1.ldf,Log,1,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM01_SharedMasterDataDB,SharedMasterDataDB_Data,C:\Data\SharedMasterDataDB_TEAM1.mdf,Rows,2.25,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM01_SharedMasterDataDB,SharedMasterDataDB_Log,C:\Data\SharedMasterDataDB_TEAM1.ldf,Log,1,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM01_TenantDataDb,TenantDataDb_Data,C:\Data\TenantDataDb_TEAM1.mdf,Rows,1448.0625,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM01_TenantDataDb,TenantDataDb_Log,C:\Data\TenantDataDb_TEAM1.ldf,Log,3089.875,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM02_LocalMasterDataDB,LocalMasterDataDB_Data,C:\Data\LocalMasterDataDB_TEAM2.mdf,Rows,2.25,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM02_LocalMasterDataDB,LocalMasterDataDB_Log,C:\Data\LocalMasterDataDB_TEAM2.ldf,Log,1,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM02_SharedMasterDataDB,SharedMasterDataDB_Data,C:\Data\SharedMasterDataDB_TEAM2.mdf,Rows,2.25,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM02_SharedMasterDataDB,SharedMasterDataDB_Log,C:\Data\SharedMasterDataDB_TEAM2.ldf,Log,1,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM02_TenantDataDb,TenantDataDb_Data,C:\Data\TenantDataDb_TEAM2.mdf,Rows,1268.0625,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM02_TenantDataDb,TenantDataDb_Log,C:\Data\TenantDataDb_TEAM2.ldf,Log,3089.875,False,2021-11-15 12:02:10
LEGACYSQL2012,TEAM03_LocalMasterDataDB,LocalMasterDataDB_Data,C:\Data\LocalMasterDataDB_TEAM3.mdf,Rows,2.25,False,2021-11-15 12:02:10
