ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
LEGACYSQL2012,TEAM08_TenantDataDb,,,2021-11-15 12:01:00,DCP,Mean,18.41059
LEGACYSQL2012,TEAM08_TenantDataDb,,,2021-11-15 12:01:00,DCP,Occurence,9
LEGACYSQL2012,TEAM08_TenantDataDb,,,2021-11-15 12:01:00,DCP,Variance,8823.428
LEGACYSQL2012,TEAM08_TenantDataDb,,,2021-11-15 12:01:00,DCP,Max,100
LEGACYSQL2012,TEAM09_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,96.847496
LEGACYSQL2012,TEAM09_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM09_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,327886.22
LEGACYSQL2012,TEAM09_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,384.37
LEGACYSQL2012,TEAM09_TenantDataDb,,,2021-11-15 12:01:00,DCP,Mean,9.82985
LEGACYSQL2012,TEAM09_TenantDataDb,,,2021-11-15 12:01:00,DCP,Occurence,8
LEGACYSQL2012,TEAM09_TenantDataDb,,,2021-11-15 12:01:00,DCP,Variance,1449.5063
LEGACYSQL2012,TEAM09_TenantDataDb,,,2021-11-15 12:01:00,DCP,Max,34.324833
LEGACYSQL2012,TEAM10_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,109.6815
LEGACYSQL2012,TEAM10_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM10_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,461793.66
LEGACYSQL2012,TEAM10_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,463.58
LEGACYSQL2012,TEAM10_TenantDataDb,,,2021-11-15 12:01:00,DCP,Mean,11.718013
LEGACYSQL2012,TEAM10_TenantDataDb,,,2021-11-15 12:01:00,DCP,Occurence,8
LEGACYSQL2012,TEAM10_TenantDataDb,,,2021-11-15 12:01:00,DCP,Variance,2195.5771
LEGACYSQL2012,TEAM10_TenantDataDb,,,2021-11-15 12:01:00,DCP,Max,43.168484
LEGACYSQL2012,TEAM11_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM11_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM11_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM11_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
LEGACYSQL2012,TEAM12_TenantDataDb,,,2021-11-15 12:01:00,DCS,Mean,0.63
LEGACYSQL2012,TEAM12_TenantDataDb,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM12_TenantDataDb,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM12_TenantDataDb,,,2021-11-15 12:01:00,DCS,Max,0.63
